Id,TypeId,PhaseCreated,PhaseDemolished,DesignOption,AssemblyName,IfcGUID,Area,HostId,Width,Height,Comments,Mark,ValueGroup
380071,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380072,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380073,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380074,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380082,20916,118390,,,,,0.863586983,380017,0.76835,1.12395,,,
380083,20916,118390,,,,,0.956369055,380017,0.8509,1.12395,,,
380454,20916,118390,,,,,1.778040799,362080,0.758825,2.34315,,,
380461,20916,118390,,,,,1.852435811,362080,0.790575,2.34315,,,
380463,20916,118390,,,,,1.852435811,362080,0.790575,2.34315,,,
380465,20916,118390,,,,,1.852435811,362080,0.790575,2.34315,,,
380467,20916,118390,,,,,1.852435811,362080,0.790575,2.34315,,,
380469,20916,118390,,,,,1.852435811,362080,0.790575,2.34315,,,
380471,20916,118390,,,,,0.852881359,362080,0.758825,1.12395,,,
380472,20916,118390,,,,,0.888566771,362080,0.790575,1.12395,,,
380473,20916,118390,,,,,0.888566771,362080,0.790575,1.12395,,,
380474,20916,118390,,,,,0.888566771,362080,0.790575,1.12395,,,
380475,20916,118390,,,,,0.888566771,362080,0.790575,1.12395,,,
380476,20916,118390,,,,,0.888566771,362080,0.790575,1.12395,,,
380718,20916,118390,,,,,1.376307731,364514,0.587375,2.34315,,,
380720,20916,118390,,,,,1.685047033,364514,0.7191375,2.34315,,,
380722,20916,118390,,,,,0.920683643,364514,0.81915,1.12395,,,
380723,20916,118390,,,,,0.660180131,364514,0.587375,1.12395,,,
380724,20916,118390,,,,,0.808274593,364514,0.7191375,1.12395,,,
380788,20916,118390,,,,,1.854267611,363071,0.791356768,2.34315,,,
380795,20916,118390,,,,,1.928662623,363071,0.823106768,2.34315,,,
380797,20916,118390,,,,,1.928662623,363071,0.823106768,2.34315,,,
380799,20916,118390,,,,,1.928662623,363071,0.823106768,2.34315,,,
380801,20916,118390,,,,,1.86353891,363071,0.795313535,2.34315,,,
380803,20916,118390,,,,,0.889445439,363071,0.791356768,1.12395,,,
380804,20916,118390,,,,,0.925130851,363071,0.823106768,1.12395,,,
380805,20916,118390,,,,,0.925130851,363071,0.823106768,1.12395,,,
380806,20916,118390,,,,,0.925130851,363071,0.823106768,1.12395,,,
380807,20916,118390,,,,,0.893892648,363071,0.795313535,1.12395,,,
381010,20916,118390,,,,,1.861649848,363403,0.794507329,2.34315,,,
381011,20916,118390,,,,,1.830117308,380956,0.78105,2.34315,,,
381019,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381021,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381023,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381025,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381027,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381029,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381031,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381033,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381035,20916,118390,,,,,1.93604486,363403,0.826257329,2.34315,,,
381037,20916,118390,,,,,0.892986513,363403,0.794507329,1.12395,,,
381038,20916,118390,,,,,0.928671925,363403,0.826257329,1.12395,,,
381039,20916,118390,,,,,0.928671925,363403,0.826257329,1.12395,,,
381040,20916,118390,,,,,0.928671925,363403,0.826257329,1.12395,,,
381041,20916,118390,,,,,0.928671925,363403,0.826257329,1.12395,,,
381042,20916,118390,,,,,0.928671925,363403,0.826257329,1.12395,,,
